ds,unique_id,y
2021-09-01,0901020G0AAAGAG,672691.0
2021-09-01,0601023AGAAABAB,60547.0
2021-09-01,0407010F0AAAHAH,1330371.0
2021-09-01,0302000C0BRAABY,2352.0
2021-09-01,0913011V0BCAAAC,1450000.0
2021-09-01,0105010E0AAABAB,153087.0
2021-09-01,0604011L0BHABAX,21998.0
2021-09-01,0208020AAAAACAC,46393.0
2021-09-01,0208020Z0AAAAAA,245609.0
2021-09-01,21480000101,4077.0
2021-09-01,0208020Y0AAACAC,367572.0
2021-09-01,0209000C0AAAAAA,759026.0
2021-09-01,0704010U0AAAAAA,534132.0
2021-09-01,1404000H0AAANAN,1413.0
2021-09-01,0204000H0AAAJAJ,623634.0
2021-09-01,0906040G0DGAADI,432048.0
2021-09-01,0302000AABBAAAA,3724.0
2021-09-01,0302000K0BDABAM,3445.0
2021-09-01,0208020AAAAABAB,22748.0
2021-09-01,0403010B0AAAGAG,1348154.0
2021-09-01,0601011A0BBABAB,12022.0
2021-09-01,0205051R0AAADAD,766341.0
2021-09-01,0407010H0AAAMAM,5372784.0
2021-09-01,0601023AKAAACAC,68399.0
2021-09-01,0601023ANAAAAAA,57049.0
2021-09-01,0212000B0AAABAB,1795443.0
2021-09-01,0301020Q0BBACAC,2732.0
2021-09-01,0601022B0AAABAB,2088780.0
2021-09-01,0304030C0BEABA3,1077.0
2021-09-01,0403030Q0AAABAB,602194.0
2021-09-01,0106040M0BCACAA,353278.0
2021-09-01,0301020Q0BCAAAD,106110.0
2021-09-01,0501130R0AAAGAG,85936.0
2021-09-01,0212000B0AAADAD,441528.0
2021-09-01,0109040N0BDABAQ,230282.0
2021-09-01,0302000Z0BBAAAA,1877.0
2021-09-01,0103050P0AAAAAA,3200129.0
2021-09-01,0103050L0AAABAB,537353.0
2021-09-01,0601023ANAAABAB,56049.0
2021-09-01,0103050L0AAAAAA,788537.0
2021-09-01,0103010H0AAAAAA,39489.0
2021-09-01,0601012V0BBAEAD,6753.0
2021-09-01,0601023AEAAAAAA,88319.0
2021-09-01,0205051R0AAABAB,543994.0
2021-09-01,0208020Y0AAABAB,96807.0
2021-09-01,0407010H0AABGBG,1477986.0
2021-09-01,0803042W0BBAAAA,500.0
2021-09-01,0302000K0BHAAAM,2113.0
2021-09-01,0208020Z0AAABAB,602731.0
2021-09-01,0301011R0BIAFAP,3801.0
2021-09-01,0206020A0AAABAB,724621.0
2021-09-01,0602010V0AABXBX,788227.0
2021-09-01,0601011A0BBADAC,8638.0
2021-09-01,0601023AWBBACAC,950.0
2021-09-01,0601023AQBBABAB,3074.0
2021-09-01,0212000B0AAACAC,773744.0
2021-09-01,0403030D0AAAAAA,652673.0
2021-09-01,0403030Q0AAAAAA,700748.0
2021-09-01,0301040Y0BBAAAA,59490.0
2021-09-01,0602010V0AABZBZ,935540.0
2021-09-01,0704020AEAAABAB,74941.0
2021-09-01,0302000C0BQAABX,13160.0
2021-09-01,0602010V0AABWBW,782591.0
2021-09-01,0209000A0AAABAB,1194110.0
2021-09-01,0601012S0BGAFAI,10454.0
2021-09-01,0302000C0BQABBZ,2372.0
2021-09-01,0401010ADAACZCZ,46695.0
2021-09-01,0205052AEAAACAC,8390.0
2021-09-01,0206020A0AAAAAA,1289563.0
2021-09-01,0601023X0AAAAAA,67940.0
2021-09-01,0302000C0BUAABX,0.0
2021-09-01,0302000AABBACAC,0.0
2021-09-01,1404000H0AAAFAF,0.0
2021-10-01,0901020G0AAAGAG,656375.0
2021-10-01,0601023AGAAABAB,64334.0
2021-10-01,0407010F0AAAHAH,1261172.0
2021-10-01,0302000C0BRAABY,2457.0
2021-10-01,0913011V0BCAAAC,1382375.0
2021-10-01,0105010E0AAABAB,146066.0
2021-10-01,0604011L0BHABAX,21944.0
2021-10-01,0208020AAAAACAC,45026.0
2021-10-01,0208020Z0AAAAAA,235498.0
2021-10-01,21480000101,4113.0
2021-10-01,0208020Y0AAACAC,345668.0
2021-10-01,0209000C0AAAAAA,717504.0
2021-10-01,0704010U0AAAAAA,514337.0
2021-10-01,1404000H0AAANAN,1567.0
2021-10-01,0204000H0AAAJAJ,598038.0
2021-10-01,0906040G0DGAADI,416288.0
2021-10-01,0302000AABBAAAA,3692.0
2021-10-01,0302000K0BDABAM,3380.0
2021-10-01,0208020AAAAABAB,23647.0
2021-10-01,0403010B0AAAGAG,1298069.0
2021-10-01,0601011A0BBABAB,11242.0
2021-10-01,0205051R0AAADAD,725811.0
2021-10-01,0407010H0AAAMAM,5189835.0
2021-10-01,0601023AKAAACAC,65412.0
2021-10-01,0601023ANAAAAAA,55054.0
2021-10-01,0212000B0AAABAB,1713892.0
2021-10-01,0301020Q0BBACAC,2586.0
2021-10-01,0601022B0AAABAB,2005151.0
2021-10-01,0304030C0BEABA3,933.0
2021-10-01,0403030Q0AAABAB,569587.0
2021-10-01,0106040M0BCACAA,327376.0
2021-10-01,0301020Q0BCAAAD,102930.0
2021-10-01,0501130R0AAAGAG,84656.0
2021-10-01,0212000B0AAADAD,421522.0
2021-10-01,0109040N0BDABAQ,243391.0
2021-10-01,0302000Z0BBAAAA,1894.0
2021-10-01,0103050P0AAAAAA,3085829.0
2021-10-01,0103050L0AAABAB,504037.0
2021-10-01,0601023ANAAABAB,54630.0
2021-10-01,0103050L0AAAAAA,753611.0
2021-10-01,0103010H0AAAAAA,42509.0
2021-10-01,0601012V0BBAEAD,6060.0
2021-10-01,0601023AEAAAAAA,83054.0
2021-10-01,0205051R0AAABAB,528227.0
2021-10-01,0208020Y0AAABAB,91004.0
2021-10-01,0407010H0AABGBG,1395748.0
2021-10-01,0803042W0BBAAAA,558.0
2021-10-01,0302000K0BHAAAM,2053.0
2021-10-01,0208020Z0AAABAB,579177.0
2021-10-01,0301011R0BIAFAP,4884.0
2021-10-01,0206020A0AAABAB,691717.0
2021-10-01,0602010V0AABXBX,749697.0
2021-10-01,0601011A0BBADAC,8333.0
2021-10-01,0601023AWBBACAC,951.0
2021-10-01,0601023AQBBABAB,3115.0
2021-10-01,0212000B0AAACAC,741775.0
2021-10-01,0403030D0AAAAAA,612408.0
2021-10-01,0403030Q0AAAAAA,677743.0
2021-10-01,0301040Y0BBAAAA,57380.0
2021-10-01,0602010V0AABZBZ,892216.0
2021-10-01,0704020AEAAABAB,72891.0
2021-10-01,0302000C0BQAABX,12797.0
2021-10-01,0602010V0AABWBW,746377.0
2021-10-01,0209000A0AAABAB,1140440.0
2021-10-01,0601012S0BGAFAI,9954.0
2021-10-01,0302000C0BQABBZ,2390.0
2021-10-01,0401010ADAACZCZ,46950.0
2021-10-01,0205052AEAAACAC,9613.0
2021-10-01,0206020A0AAAAAA,1236728.0
2021-10-01,0601023X0AAAAAA,66118.0
2021-10-01,0302000C0BUAABX,0.0
2021-10-01,0302000AABBACAC,2.0
2021-10-01,1404000H0AAAFAF,0.0
2021-11-01,0901020G0AAAGAG,709055.0
2021-11-01,0601023AGAAABAB,70412.0
2021-11-01,0407010F0AAAHAH,1310226.0
2021-11-01,0302000C0BRAABY,2615.0
2021-11-01,0913011V0BCAAAC,1492875.0
2021-11-01,0105010E0AAABAB,150483.0
2021-11-01,0604011L0BHABAX,25782.0
2021-11-01,0208020AAAAACAC,47581.0
2021-11-01,0208020Z0AAAAAA,255047.0
2021-11-01,21480000101,4553.0
2021-11-01,0208020Y0AAACAC,367181.0
2021-11-01,0209000C0AAAAAA,764957.0
2021-11-01,0704010U0AAAAAA,549675.0
2021-11-01,1404000H0AAANAN,505.0
2021-11-01,0204000H0AAAJAJ,637943.0
2021-11-01,0906040G0DGAADI,445279.0
2021-11-01,0302000AABBAAAA,4008.0
2021-11-01,0302000K0BDABAM,3616.0
2021-11-01,0208020AAAAABAB,24408.0
2021-11-01,0403010B0AAAGAG,1367078.0
2021-11-01,0601011A0BBABAB,11993.0
2021-11-01,0205051R0AAADAD,766044.0
2021-11-01,0407010H0AAAMAM,5437036.0
2021-11-01,0601023AKAAACAC,68695.0
2021-11-01,0601023ANAAAAAA,55876.0
2021-11-01,0212000B0AAABAB,1837933.0
2021-11-01,0301020Q0BBACAC,2596.0
2021-11-01,0601022B0AAABAB,2092262.0
2021-11-01,0304030C0BEABA3,849.0
2021-11-01,0403030Q0AAABAB,610282.0
2021-11-01,0106040M0BCACAA,332635.0
2021-11-01,0301020Q0BCAAAD,104400.0
2021-11-01,0501130R0AAAGAG,86706.0
2021-11-01,0212000B0AAADAD,450045.0
2021-11-01,0109040N0BDABAQ,247083.0
2021-11-01,0302000Z0BBAAAA,2015.0
2021-11-01,0103050P0AAAAAA,3233801.0
2021-11-01,0103050L0AAABAB,552240.0
2021-11-01,0601023ANAAABAB,58155.0
2021-11-01,0103050L0AAAAAA,805085.0
2021-11-01,0103010H0AAAAAA,46819.0
2021-11-01,0601012V0BBAEAD,6776.0
2021-11-01,0601023AEAAAAAA,90467.0
2021-11-01,0205051R0AAABAB,554609.0
2021-11-01,0208020Y0AAABAB,97710.0
2021-11-01,0407010H0AABGBG,1448848.0
2021-11-01,0803042W0BBAAAA,483.0
2021-11-01,0302000K0BHAAAM,2191.0
2021-11-01,0208020Z0AAABAB,632098.0
2021-11-01,0301011R0BIAFAP,6207.0
2021-11-01,0206020A0AAABAB,732282.0
2021-11-01,0602010V0AABXBX,788277.0
2021-11-01,0601011A0BBADAC,8688.0
2021-11-01,0601023AWBBACAC,960.0
