unique_id,ds,y_hat,y_hat_lower,y_hat_upper
0302000C0BRAABY,2024-12-01,7021.697473770526,6395.022563481699,7648.372384059353
0302000C0BRAABY,2025-01-01,7140.729260429073,6453.778714060772,7827.679806797375
0302000C0BRAABY,2025-02-01,7259.761047087621,6517.412972983628,8002.109121191614
0302000C0BRAABY,2025-03-01,7378.792833746168,6584.903500717876,8172.68216677446
0302000C0BUAABX,2024-09-01,6686.314926015031,5868.85628548386,7503.773566546202
0302000C0BUAABX,2024-10-01,6644.215155177798,5363.329174179658,7925.101136175937
0302000C0BUAABX,2024-11-01,6606.250329308224,4892.716288777632,8319.784369838815
0302000C0BUAABX,2024-12-01,6572.014323395517,4435.950854234414,8708.07779255662
0302000C0BUAABX,2025-01-01,6541.1409011156,3987.6879474467696,9094.59385478443
0302000C0BUAABX,2025-02-01,6513.299797053858,3546.4815837876354,9480.11801032008
0302000C0BUAABX,2025-03-01,6488.193183723176,3112.116678317182,9864.26968912917
0302000K0BDABAM,2024-09-01,4401.707395457689,4045.90034517798,4757.514445737398
0302000K0BDABAM,2024-10-01,4428.533077459408,4056.2229942546255,4800.84316066419
0302000K0BDABAM,2024-11-01,4455.358759461126,4067.2467407305076,4843.470778191745
0302000K0BDABAM,2024-12-01,4482.184441462845,4078.8891648845533,4885.479718041136
0302000K0BDABAM,2025-01-01,4509.0101234645645,4091.082831776686,4926.937415152443
0302000K0BDABAM,2025-02-01,4535.835805466282,4103.771733638076,4967.899877294489
0302000K0BDABAM,2025-03-01,4562.661487468002,4116.908749740039,5008.414225195965
0302000K0BHAAAM,2024-09-01,1971.3650349789416,1860.9825507979344,2081.7475191599488
0302000K0BHAAAM,2024-10-01,2019.3195366115415,1901.8649641780307,2136.7741090450522
0302000K0BHAAAM,2024-11-01,2045.9366872889966,1927.8360468058454,2164.037327772148
0302000K0BHAAAM,2024-12-01,2092.6505418877655,1970.6576186504954,2214.6434651250356
0302000K0BHAAAM,2025-01-01,2073.2114082684298,1945.772520979335,2200.6502955575247
0302000K0BHAAAM,2025-02-01,1888.7220899158235,1755.4409608180274,2022.0032190136196
0302000K0BHAAAM,2025-03-01,2079.8376096277057,1940.7470786126528,2218.9281406427585
0302000Z0BBAAAA,2024-09-01,3245.2112615937644,3128.884376190884,3361.538146996645
0302000Z0BBAAAA,2024-10-01,3359.4832833831915,3241.4789253795043,3477.4876413868787
0302000Z0BBAAAA,2024-11-01,3431.324132889436,3309.758056837176,3552.890208941696
0302000Z0BBAAAA,2024-12-01,3442.4681198735225,3296.9129376292726,3588.0233021177723
0302000Z0BBAAAA,2025-01-01,3537.7432783091,3388.674440145558,3686.8121164726417
0302000Z0BBAAAA,2025-02-01,3344.7037557648678,3190.09788950451,3499.3096220252255
0302000Z0BBAAAA,2025-03-01,3610.1467179928013,3443.2865939287585,3777.006842056844
0304030C0BEABA3,2024-09-01,1144.7410416037824,967.5449317132993,1321.9371514942654
0304030C0BEABA3,2024-10-01,1053.3633897279583,852.3792223191297,1254.347557136787
0304030C0BEABA3,2024-11-01,905.302243333021,700.312656529578,1110.2918301364641
0304030C0BEABA3,2024-12-01,808.6540490747282,576.5866601247499,1040.7214380247065
0304030C0BEABA3,2025-01-01,1009.6055381669902,754.67347345576,1264.5376028782202
0304030C0BEABA3,2025-02-01,1051.6777082632725,786.9927867987516,1316.3626297277933
0304030C0BEABA3,2025-03-01,1242.943426530593,963.7426560861421,1522.1441969750435
0401010ADAACZCZ,2024-09-01,51173.52972547087,44216.6072870171,58130.452163924645
0401010ADAACZCZ,2024-10-01,50945.80371482927,43963.06306849639,57928.54436116215
0401010ADAACZCZ,2024-11-01,51134.731698679556,43455.518305310696,58813.945092048416
0401010ADAACZCZ,2024-12-01,51048.11402124201,43349.467405311436,58746.76063717258
0401010ADAACZCZ,2025-01-01,51126.02135408215,43284.28103117861,58967.76167698569
0401010ADAACZCZ,2025-02-01,51093.59696124824,43242.865231793665,58944.32869070281
0401010ADAACZCZ,2025-03-01,51126.00726395405,43243.57040327946,59008.444124628644
0403010B0AAAGAG,2024-09-01,1494243.580938855,1452550.0805905561,1535937.0812871538
0403010B0AAAGAG,2024-10-01,1533211.95346592,1484914.92155962,1581508.98537222
0403010B0AAAGAG,2024-11-01,1552323.650888376,1503497.81135168,1601149.490425072
0403010B0AAAGAG,2024-12-01,1563970.0979829,1511489.715698104,1616450.480267696
0403010B0AAAGAG,2025-01-01,1583320.2976930386,1530430.851558766,1636209.743827311
0403010B0AAAGAG,2025-02-01,1469687.1021442458,1416511.822733921,1522862.3815545705
0403010B0AAAGAG,2025-03-01,1604907.5754431458,1551093.8902116,1658721.2606746915
0403030D0AAAAAA,2024-09-01,588524.077096301,565054.874923832,611993.27926877
0403030D0AAAAAA,2024-10-01,601556.8742137691,577969.9590798719,625143.7893476663
0403030D0AAAAAA,2024-11-01,616502.9224207897,592453.3392729608,640552.5055686187
0403030D0AAAAAA,2024-12-01,614874.992932327,587931.4587594093,641818.5271052447
0403030D0AAAAAA,2025-01-01,616645.132872123,587089.6660703613,646200.5996738848
0403030D0AAAAAA,2025-02-01,571626.20857684,539671.5969845691,603580.8201691109
0403030D0AAAAAA,2025-03-01,628672.2324490859,594486.4344306727,662858.0304674992
0403030Q0AAAAAA,2024-09-01,780324.8322731697,757791.9897086611,802857.6748376782
0403030Q0AAAAAA,2024-10-01,796481.9442086307,772384.9141999877,820578.9742172738
0403030Q0AAAAAA,2024-11-01,811219.409647361,786934.8245031841,835503.994791538
0403030Q0AAAAAA,2024-12-01,802614.8328467425,775985.1054793382,829244.5602141467
0403030Q0AAAAAA,2025-01-01,822071.3971317689,795441.0993531353,848701.6949104024
0403030Q0AAAAAA,2025-02-01,766921.4226637979,740251.8661217182,793590.9792058775
0403030Q0AAAAAA,2025-03-01,833523.4493187768,806310.7902487147,860736.1083888389
0403030Q0AAABAB,2024-09-01,681509.5346288402,661919.5920309953,701099.477226685
0403030Q0AAABAB,2024-10-01,689773.6305817832,668940.3583560991,710606.9028074674
0403030Q0AAABAB,2024-11-01,702860.6799325412,681924.7564503158,723796.6034147666
0403030Q0AAABAB,2024-12-01,705002.1434799283,681539.9638159272,728464.3231439294
0403030Q0AAABAB,2025-01-01,716816.6954254054,693353.0589533623,740280.3318974485
0403030Q0AAABAB,2025-02-01,666821.8169372636,643337.0181948891,690306.6156796381
0403030Q0AAABAB,2025-03-01,722773.6308643636,698563.4238832793,746983.8378454479
0407010F0AAAHAH,2024-09-01,1255840.2161960115,1212541.6278472915,1299138.8045447315
0407010F0AAAHAH,2024-10-01,1260554.901798389,1213967.6005156718,1307142.203081106
0407010F0AAAHAH,2024-11-01,1283017.442656802,1235712.3043772292,1330322.5809363748
0407010F0AAAHAH,2024-12-01,1281780.3737721478,1233120.4387231225,1330440.3088211732
0407010F0AAAHAH,2025-01-01,1288227.3957153661,1239571.1916079032,1336883.599822829
0407010F0AAAHAH,2025-02-01,1193561.85389148,1144817.3042565037,1242306.4035264563
0407010F0AAAHAH,2025-03-01,1302579.7005098448,1253765.6141193267,1351393.786900363
0407010H0AAAMAM,2024-09-01,5541701.6074353205,5391628.056288394,5691775.158582247
0407010H0AAAMAM,2024-10-01,5573017.546196596,5392734.54758111,5753300.544812081
0407010H0AAAMAM,2024-11-01,5726875.496465837,5541732.912925983,5912018.08000569
0407010H0AAAMAM,2024-12-01,5788211.430544969,5598333.593792408,5978089.26729753
0407010H0AAAMAM,2025-01-01,5715265.760710222,5520767.921288153,5909763.60013229
0407010H0AAAMAM,2025-02-01,5305178.215622989,5106167.597338756,5504188.833907223
0407010H0AAAMAM,2025-03-01,5746151.916775358,5542728.607295117,5949575.2262555985
0407010H0AABGBG,2024-09-01,2122357.703012805,1970699.1313732308,2274016.274652379
0407010H0AABGBG,2024-10-01,2137329.172671417,1978081.8723880327,2296576.472954801
0407010H0AABGBG,2024-11-01,2162029.1389584853,2000822.3400724423,2323235.9378445284
0407010H0AABGBG,2024-12-01,2180123.992618292,2017062.1213381025,2343185.8638984817
0407010H0AABGBG,2025-01-01,2202703.353441436,2039441.0660858,2365965.6407970716
0407010H0AABGBG,2025-02-01,2222237.9812474595,2058443.6468989658,2386032.3155959533
0407010H0AABGBG,2025-03-01,2243839.814837283,2080098.7918708352,2407580.8378037307
